state_code,state_name,district_code,district_name,total_households,total_population,total_population_male,total_population_female,total_population_SC,total_population_male_SC,total_population_female_SC,total_population_ST,total_population_male_ST,total_population_female_ST,area_hectare,govt_pre_primary_school_UKG,pvt_pre_primary_school_UKG,govt_primary_school,pvt_primary_school,govt_middle_school,pvt_middle_school,govt_secondary_school,pvt_secondary_school,govt_senior_secondary_school,pvt_senior_secondary_school,govt_art_science_degree_college,pvt_art_science_degree_college,govt_engineering_college,pvt_engineering_college,govt_medicine_college,pvt_medicine_college,govt_management_college,pvt_management_college,govt_polytechnic_college,pvt_polytechnic_college,govt_vocational_ITI_training,pvt_vocational_ITI_training,govt_non_formal_training_centre,pvt_non_formal_training_centre,govt_disabled_school,pvt_disabled_school,govt_other_education,pvt_other_education
28.0,ANDHRA PRADESH,535.0,Medak,504567.0,2305417.0,1152806.0,1152611.0,461017.0,228175.0,232842.0,156801.0,80309.0,76492.0,931723.0,0.0,208.0,2098.0,197.0,865.0,109.0,454.0,64.0,12.0,8.0,1.0,8.0,0.0,16.0,0.0,1.0,0.0,7.0,2.0,0.0,5.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0
28.0,ANDHRA PRADESH,537.0,Rangareddy,349140.0,1577569.0,801013.0,776556.0,325517.0,163576.0,161941.0,133890.0,68748.0,65142.0,640207.0,0.0,91.0,1397.0,317.0,571.0,195.0,325.0,109.0,30.0,48.0,2.0,16.0,4.0,105.0,0.0,7.0,0.0,60.0,1.0,1.0,0.0,3.0,59.0,0.0,1.0,0.0,0.0,0.0
28.0,ANDHRA PRADESH,538.0,Mahbubnagar,743106.0,3445336.0,1742438.0,1702898.0,651273.0,327589.0,323684.0,345359.0,176540.0,168819.0,1716330.0,0.0,213.0,2956.0,271.0,1094.0,159.0,497.0,120.0,62.0,22.0,8.0,10.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,3.0,91.0,3.0,0.0,0.0,0.0,0.0
28.0,ANDHRA PRADESH,539.0,Nalgonda,716294.0,2826302.0,1427716.0,1398586.0,550732.0,276394.0,274338.0,366300.0,189061.0,177239.0,1335933.0,0.0,203.0,2441.0,412.0,865.0,213.0,538.0,170.0,31.0,43.0,3.0,10.0,0.0,15.0,0.0,1.0,0.0,14.0,2.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
28.0,ANDHRA PRADESH,540.0,Warangal,645197.0,2520243.0,1260594.0,1259649.0,461297.0,230559.0,230738.0,486034.0,246028.0,240006.0,987200.0,0.0,998.0,2748.0,350.0,925.0,247.0,478.0,193.0,34.0,49.0,4.0,16.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0
28.0,ANDHRA PRADESH,541.0,Khammam,582970.0,2141459.0,1066781.0,1074678.0,366888.0,183331.0,183557.0,709904.0,352019.0,357885.0,1240084.0,0.0,168.0,2545.0,296.0,773.0,118.0,380.0,91.0,50.0,29.0,6.0,19.0,0.0,14.0,0.0,0.0,0.0,8.0,1.0,0.0,7.0,40.0,4.0,9.0,0.0,0.0,0.0,0.0
28.0,ANDHRA PRADESH,542.0,Srikakulam,572382.0,2266411.0,1126888.0,1139523.0,214824.0,105721.0,109103.0,160438.0,78438.0,82000.0,499489.0,0.0,152.0,3086.0,164.0,902.0,121.0,362.0,98.0,46.0,25.0,7.0,16.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,1.0,4.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0
28.0,ANDHRA PRADESH,543.0,Vizianagaram,463526.0,1853563.0,920428.0,933135.0,190373.0,93902.0,96471.0,226130.0,110300.0,115830.0,535368.0,0.0,121.0,2651.0,159.0,561.0,95.0,262.0,60.0,31.0,26.0,10.0,13.0,0.0,12.0,0.0,0.0,2.0,6.0,0.0,4.0,20.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0
28.0,ANDHRA PRADESH,544.0,Visakhapatnam,579417.0,2254667.0,1113234.0,1141433.0,151980.0,75154.0,76826.0,579968.0,282244.0,297724.0,749446.0,0.0,88.0,3494.0,504.0,798.0,97.0,336.0,76.0,37.0,34.0,9.0,15.0,0.0,9.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,ANDHRA PRADESH,545.0,East Godavari,1073773.0,3840324.0,1922293.0,1918031.0,785984.0,391519.0,394465.0,198698.0,96988.0,101710.0,672935.0,0.0,592.0,3271.0,522.0,847.0,290.0,511.0,166.0,85.0,87.0,27.0,67.0,1.0,21.0,0.0,2.0,0.0,10.0,4.0,5.0,4.0,21.0,8.0,3.0,0.0,1.0,0.0,0.0
